Model Name	LI-180
772nm	76.173576
773nm	78.199356
774nm	79.738976
775nm	80.874756
776nm	81.535164
777nm	81.869392
778nm	82.020149
779nm	82.078781
780nm	82.042412
CCT	5465.000000
Duv	0.004667
x	0.333318
y	0.351069
u'	0.203671
v'	0.482666
deltax	0.000063
deltay	0.009303
deltau'	-0.003491
deltav'	0.004648
Purity	5.337072
CRI	98.779282
R1	98.665459
R2	99.470703
R3	98.974945
R4	98.248100
R5	98.830368
R6	99.473335
R7	98.902351
R8	97.668961
R9	94.101921
R10	99.232346
R11	98.246521
R12	99.336227
R13	98.899147
R14	99.324699
R15	97.831963
